name,region,site,contacts,email,address,founded,segment_tag,description,rating_ref,source,img_src,img_alt
emg,Москва,http://emg.ru,+7 (495) 797-86-64,emg@emg.ru,"Москва, ул. Народная, 14, стр. 3",,Стратегическое планирование;Оформление мест продаж POS;Мерчандайзинг;BTL агентства;Лидеры рынка;Презентации;Избранное;Сэмплинг;РАМУ;АКАР;emg,"emg — одно из крупнейших российских агентств, занимающееся организацией интегрированных маркетинговых коммуникаций, масштабных BTL-акций, рекламных и PR-кампаний.",https://www.alladvertising.ru/info/emg.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/de527f597b6b9c122f219b4a74f88a91,emg
OPEN Group,Москва,https://open-com.ru,+7 (499) 649-00-80,sales@open-com.ru,"Москва, Ленинградский пр., 36, стр. 11, офис 701",,Стратегическое планирование;Оформление мест продаж POS;Мерчандайзинг;BTL агентства;Лидеры рынка;OPEN Group;Избранное;Сэмплинг;Indoor;РАМУ;АКАР,"Агентство маркетинговых коммуникаций OPEN специализируется в области немедийных коммуникаций и предоставляет полный комплекс интегрированных маркетинговых услуг: мерчандайзинг и промо-активности в местах продаж, торговый маркетинг, организация мероприятий, продвижение в digital-среде.Агентство активно внедряет инновационные технологии в управление персоналом и мерчандайзинг.",https://www.alladvertising.ru/info/open_group.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/aab8e0500f740db269d3fcbe3b1aa465,OPEN Group
Creon,Москва,https://creon-cg.com,+7 (499) 372-32-31,info@creon-cg.com,"Москва, ул. Большая Новодмитровская, 36, стр. 2",2013,Оформление мест продаж POS;BTL агентства;Лидеры рынка;Презентации;Избранное;Creon PR;Сэмплинг;Стенды;Creon;РАМУ,"Агентство CREON реализует проекты в сфере рекламы и маркетинга: разрабатывает креативные концепции, организует масштабные федеральные и локальные BTL-мероприятия, реализует NCP-проекты, интегрирует бренды в мероприятия и т.д.",https://www.alladvertising.ru/info/creon.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/104552078603c6985e213cddcde6a60d,Creon
BM Group,Москва,https://bm-technology.ru,+7 (495) 150-16-14,info@bm-technology.ru,"Москва, Б. Полуярославский пер., 10, корп. 2",2015,Нестандартные носители;Дополненная реальность;Витрины и вывески;BTL агентства;Лидеры рынка;Избранное;BM Group;Стенды;Indoor,"Компания занимается разработкой и производством инновационных средств коммуникации, интерактивного и проекционного оборудования, сенсорных киосков, выставочных стендов и мультимедийных решений для презентаций.",https://www.alladvertising.ru/info/bm_group.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/508a172098ac513cc780ac09434046ca,BM Group
N:OW,Москва,https://now-agency.ru,+7 953 435-91-63,hello@now-agency.ru,"Москва, ул. Скаковая, 36, офис 300",2017,Сувенирная продукция;Организация выставок;Event-management;BTL агентства;Лидеры рынка;PR агентства;Презентации;Избранное;Стенды;АКАР;REMA;N:OW;SMM,"Агентство «N:OW» оказывает весь комплекс услуг в области коммуникаций и событийного маркетинга — от исследований, разработки идей, сценариев и механик, до организации мероприятий и полной интеграции брендов в крупные события.",https://www.alladvertising.ru/info/now_agency.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/6c6b5881d0628502c1f13504c60dad67,N:OW
Sport Media Alliance,Санкт-Петербург,http://sma-russia.ru,+7 (812) 644-60-44,sales@sma-russia.ru,"Санкт-Петербург, наб. Крюкова канала, 25, 2 этаж",2009,Нестандартные носители;Sport Media Alliance;Световые короба;BTL агентства;Fitness Media;Лидеры рынка;Медиаселлеры;Health Media;Избранное;Сэмплинг;IdeaNext;Стенды;Indoor;Воздух,"SMA — федеральный оператор по размещению рекламы на территории фитнес-клубов. Кроме того, агентство оказывает услуги по проведению промо-акций, семплингов, лифлетингов; организации нестандартных рекламных кампаний на территории фитнес-сетей и спортивных клубов в крупнейших городах России.",https://www.alladvertising.ru/info/sport_media_alliance.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/df9f427acdaf9870cdd88c646141319e,Sport Media Alliance
АЛИДИ Продвижение,Москва,https://alidi-agency.ru,8 800 775-75-00,agency@alidi.ru,"Москва, Старопетровский пр., 7А, стр. 25",2005,Оформление мест продаж POS;АЛИДИ Продвижение;Мерчандайзинг;BTL агентства;Лидеры рынка;Консалтинг;Избранное;ALIDI,"Агентство «АЛИДИ Продвижение» специализируется на маркетинговых и рекламных акциях по продвижению брендов в местах продаж — от разработки креативных концепций и производства POS-материалов до подбора персонала, услуг мерчандайзинга, обеспечения логистики и монтажа оборудования.",https://www.alladvertising.ru/info/alidi.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/c332ae02c40986652050ca57833702a6,АЛИДИ Продвижение
Хорошие люди,Москва,https://www.horoshie-ludi.ru,+7 (495) 230-24-56,info@horoshie-ludi.ru,"Москва, ул. Староалексеевская, 5, офис 300",2003,Оформление мест продаж POS;Good People Group;Мерчандайзинг;BTL агентства;Лидеры рынка;Хорошие люди;Презентации;Избранное;Сэмплинг;РАМУ,"BTL-агентство «Хорошие люди» специализируется на предоставлении услуг в сфере BTL с использованием полного спектра инструментов: дегустации, раздача образцов и листовок, открытия магазинов, «таинственный покупатель», аудит и мерчандайзинг, стимулирующие розыгрыши призов.",https://www.alladvertising.ru/info/horoshie_ludi.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/373898c2c0c871e9c80da3cbf9a659a8,Хорошие люди
Ambitica,Москва,https://www.ambitica.ru,+7 (495) 363-14-14,info@ambitica.ru,"Москва, Большой Саввинский переулок, 12, стр. 18",2007,Нестандартные носители;Медиа-агентства;BTL агентства;Лидеры рынка;Медиабайеры;Избранное;Ambitica;Стенды;Indoor;АКАР,"Агентство Ambitica занимается организацией рекламных кампаний в торгово-развлекательных и бизнес-центрах: экспонирование автомобилей и размещение нестандартных конструкций, реклама на цифровых экранах и стендах, реклама в холлах и лифтовых кабинах; проведение промо-акций и т.д.",https://www.alladvertising.ru/info/ambitica.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/2803d9fad409004ee5bf47bef5a42762,Ambitica
RI Communication,Санкт-Петербург,https://ricommunication.ru,+7 (495) 846-84-95,info@ricommunication.ru,"Санкт-Петербург, Удельный пр., 5",,Оформление мест продаж POS;RI Communication;Мерчандайзинг;BTL агентства;Презентации;Избранное;Сэмплинг;RUSINFO;АКАР;РАМУ,"Весь спектр услуг в сфере событийного, торгового и потребительского маркетинга на территории России: взаимодействие с торговыми сетями и ведение взаиморасчетов с поставщиками услуг, организация промо-акций и проведение масштабных мероприятий, мотивационные программы, исследование рынка и аудит, разработка креативных сценариев и кадровый аутсорсинг.",https://www.alladvertising.ru/info/ri_communication.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/30c2756c81de0fb85c0d63b6d24bc74c,RI Communication
BrandNew,Москва,https://www.brandnew.ru,+7 (495) 748-59-55,info@progressiongroup.ru,"Москва, ул. Зорге, 1, стр. 1",2001,Progression Group;BTL агентства;Лидеры рынка;Презентации;Избранное;BrandNew;SMM,"Агентство BrandNew предлагает спектр услуг по организации специальных мероприятий для привлечения аудитории и стимулирования продаж: промо-акции, активации, мотивационные программы, спецпроекты в социальных сетях и Digital PR.",https://www.alladvertising.ru/info/brandnew.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/6c2c553d3bbd34daefb49e1b8f9bca59,BrandNew
Merchandising Solutions,Москва,https://www.merchandisingsolutions.ru,+7 (495) 297-97-78,info@merchandisingsolutions.ru,"Москва, Ракетный бульвар, 16",2009,Оформление мест продаж POS;Merchandising Solutions;BTL агентства;Мерчандайзинг;Избранное;Сэмплинг,Агентство «Мерчандайзинг Солюшнс» оказывает полный комплекс услуг по продвижению продукции в федеральных и региональных торговых розничных сетях.,https://www.alladvertising.ru/info/merchandising_solutions.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/07238d8667df6ef8a002a1df4f50e654,Merchandising Solutions
Master In,Санкт-Петербург,https://master-in.ru,+7 (495) 255-06-07,sale@master-in.ru,"Санкт-Петербург, ул. Миллионная, 6, офис 104",2009,Полиграфическое производство;Нестандартные носители;Реклама на транспорте;Витрины и вывески;Цифровые экраны;Световые короба;Медиа-агентства;BTL агентства;Лидеры рынка;Медиаселлеры;Медиабайеры;Избранное;Master In;Стенды;Indoor;АКАР,"Агентство «Мастер Ин» специализируется на проведении рекламных кампаний в бизнес-центрах и ВУЗах по всей России, а также предлагает услуги по организации промо-акций, размещению рекламы на транспорте, распространению печатной рекламной продукции, размещению нестандартных рекламных носителей.",https://www.alladvertising.ru/info/master_in.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/358352c0799a54f32d188c8502c53398,Master In
PAPA CARLO,Москва,https://papa-carlo.ru,+7 (495) 385-84-00,welcome@papa-carlo.ru,"Москва, Гжельский переулок, 19",2002,Оформление мест продаж POS;Event-management;Мерчандайзинг;BTL агентства;Лидеры рынка;Презентации;PAPA CARLO;Избранное;Сэмплинг,"Специализированное BTL-агентство PAPA CARLO предлагает комплекс маркетинговых услуг по продвижению товаров и услуг с помощью организации промо-акций и знаковых мероприятий в Москве, Екатеринбурге, Новосибирске и других крупных городах России.",https://www.alladvertising.ru/info/carlo_btl.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/204ce3f49f24c7166b48f189622270a9,PAPA CARLO
Progression Group,Москва,https://progressiongroup.ru,+7 (495) 748-59-60,info@progressiongroup.ru,"Москва, Берсеневская наб., 8, стр. 1",1995,Стратегическое планирование;Реклама в социальных сетях;Агентства полного цикла;Медиапланирование;Progression Group;Интернет-реклама;Мерчандайзинг;BTL агентства;Лидеры рынка;Медиабайеры;Progression;Избранное;Игроник;РАМУ;АКАР;SMM,"Одна из крупнейших независимых групп на российском рекламном рынке, специализирующаяся на решении стратегических задач в области маркетинга, медиапланирования, BTL и мерчандайзинга, digital-коммуникаций.",https://www.alladvertising.ru/info/progression_group.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/386ef5f56857285cf52b4c9183ce31dc,Progression Group
RED Agency,Москва,https://red-agency.ru,+7 (495) 787-25-87,blue@red-agency.ru,"Москва, Большой Саввинский пер., 12, стр. 18, офис 302",2012,Оформление мест продаж POS;Интернет-реклама;Мерчандайзинг;BTL агентства;Лидеры рынка;Red Agency;Избранное;Стенды,"Агентство RED — это опытные специалисты российской BTL-индустрии, специализирующиеся на торговом маркетинге, организации промо-акций и мерчендайзинге в ритейле.Компания осуществляет полный спектр услуг в сфере BTL — от разработки стандартов мерчендайзинга, программ лояльности и промо-акций до сложных интегрированных проектов.",https://www.alladvertising.ru/info/red_agency.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/e41f3c941df48b8339444ccdc0c1ef47,RED Agency
Level Agency,Москва,https://level-agency.com,+7 (495) 122-22-69,info@level-agency.com,"Москва, ул. Большая Татарская, 35, стр. 7-9, офис 14Б",2003,Витрины и вывески;Event-management;BTL агентства;Loyalty Group;Лидеры рынка;Level Agency;Презентации;Избранное,"Event-агентство Level оказывает полный спектр услуг в сфере организации деловых и развлекательных событий, маркетинговых и PR-акций, внутренних и внешних коммуникаций, включая продакшн и продвижение в цифровой среде.",https://www.alladvertising.ru/info/level_event_agency.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/c2e38a07789bd8429b82332811199846,Level Agency
SEVEN,Москва,https://7-agency.ru/ru,+7 (495) 748-59-59,info@7-agency.ru,"Москва, ул. Зорге, 1, стр. 1",2007,Оформление мест продаж POS;Progression Group;Мерчандайзинг;BTL агентства;Лидеры рынка;Избранное;WPP Group;Сэмплинг;Ogilvy;SEVEN;7,"Одно из крупнейших агентств в области трейд-маркетинга на российском рынке, предоставляющее на федеральном уровне комплекс качественных услуг в области полевого маркетинга, мерчандайзинга и размещения POSM.",https://www.alladvertising.ru/info/7.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/564757d6a194c58adc109e68df11947e,SEVEN
LeaderTeam,Москва,https://www.leaderteam.ru,+7 (495) 225-88-30,moscow@leaderteam.ru,"Москва, Красногорск, бульвар Строителей, 4, стр. 1, сектор Г, 2 этаж",2003,Оформление мест продаж POS;BTL агентства;Мерчандайзинг;Лидеры рынка;Презентации;LeaderTeam;Избранное;РАМУ,"Компания LeaderTeam специализируется на предоставлении услуг в сфере трейд и ритейл-маркетинга: мерчандайзинг, HR-аутсорсинг, розничные сети и складская логистика, независимая инвентаризация и аналитика данных торговых сетей.",https://www.alladvertising.ru/info/leader_team.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/0dedc08cb140b04ff4afd5ee3d4a678c,LeaderTeam
POS Management,Москва,https://posmanagement.ru,+7 (495) 989-21-56,info@posmanagement.ru,"Москва, ул. Складочная, 1Б, стр. 1, пом. 13",2011,Оформление мест продаж POS;POS Management;BTL агентства;Мерчандайзинг;Лидеры рынка;Избранное,"Агентство оказывает комплекс услуг в области торгового маркетинга и мерчандайзинга, помогая производителям и дистрибьюторам расширять сеть присутствия и продвигать  продукцию в местах продаж.",https://www.alladvertising.ru/info/pos_management.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/1b3e44890530cbfb073f0c58eecbad91,POS Management
ARS MAGNA,Москва,https://btl-agency.ru,+7 (499) 677-54-32,client@btl-agency.ru,"Москва, Садовническая наб., 9, офис 8",2016,Оформление мест продаж POS;Event-management;Мерчандайзинг;BTL агентства;Презентации;Избранное;ARS MAGNA;Сэмплинг;РАМУ,"Агентство ARS MAGNA специализируется на разработке и проведении масштабных активаций в области торгового и потребительского маркетинга, а также на комплексной организации мероприятий и поддержке в цифровой среде.",https://www.alladvertising.ru/info/ars_magna.html,alladvertising,https://www.alladvertising.ru/porridge/83/101/h_92f0abaca6495dce737101bc3ca0778d,Агентство ARS MAGNA
